,userId,tag
32,586,"car chase,heist,Action/Comedy,Crime,Drugs,Guy Ritchie"
34,631,"acting,Morgan Freeman,Alfred Hitchcock,Atmospheric,classic,disturbing,James Stewart,paranoid,twist ending,Audrey Hepburn,funny,Musical,adapted from:book,courtroom drama,Woody Allen,existentialism,mindfuck,paranoid,animation,cute,fanciful,toys,action,Ridley Scott,Russell Crowe,sword fight,Michael Caine,Eddie Murphy,androids,artificial intelligence,robots,sci-fi,Steven Spielberg,crappy sequel,Eva Mendes,not as good as the first,street race,heroine in tight suit,predictable,sexy,eva green,Jacques Becker,touching,great cinematography,heartbreaking,Keira Knightley,coen brothers,Tommy Lee Jones,violent,the end,quirky,Sci-Fi,alternate reality,predictable,sci-fi,stupid,virtual reality,Jan Svankmajer,story,intellectual,animated,animation,anti-hero,funny,heartwarming,romance,witty,Vin Diesel,Comedy,Iron Man,cinematography,Martin Scorsese,story,visually appealing,Funny,Quentin Tarantino,Spaghetti Western,violence"
40,729,"Martin Scorsese,Samuel L. Jackson,Maggie Gyllenhaal,Will Ferrell,spaceships"
41,739,"childhood fav,Jim Carrey,Simon Callow,Steve Oedekerk,betrayal,relationships,sexuality,funny,Mike Myers,Christopher Nolan,Christopher Nolan,Charlize Theron,Love&War,Pen̩lope Cruz,Unpredictable,atmospheric,beautiful,meditative,sentimental,Business is the antagonist,dark comedy,social commentary,Christopher Nolan,dull,Predictable,bad,not convincing,poor acting,sad,funny,obvious plot,boring beginning,history,Kevin Bacon,Oliver Platt,true story,Kate Winslet,Ralph Fiennes,honest,wandering,plot,biblical references,black and white morals,characters,cinematography,funny,predictable,boring,intense,realistic,thoughtful,War,Alison Lohman,dark,hackers,internet,poorly directed,predictable,sci-fi,virtual reality,bad humor,stupid"
42,741,crime
43,768,"jack nicholson,america porn,cheesy"
52,910,"dragon,entirely dialogue,noir thriller,arnold,conspiracy theory,spielberg,spielberg,neo-noir,neo-noir,mars,spielberg,conspiracy theory,dragon,spielberg,arnold,marx brothers,arnold,dragon,cheerleading,christian,jesus,entirely dialogue,spielberg,arnold,mountain climbing,screwball comedy,cheerleading,christian,treasure,neo-noir,screwball comedy,christian,stranded,jesus,bollywood,christian,jesus,arnold,noir thriller,noir thriller,noir thriller,screwball comedy,noir thriller,marx brothers,screwball comedy,marx brothers,conspiracy theory,marx brothers,screwball comedy,noir thriller,mars,stranded,spielberg,World War II,mel brooks,dr. seuss,conspiracy theory,mars,conspiracy theory,treasure,dr. seuss,Helen Mirren,Rachel McAdams,Russell Crowe,conspiracy theory,mountain climbing,short-term memory loss,dark hero,stranded,stranded"
54,969,"class conflict,mindfuck,paranoid,psychedelic,american propaganda,class conflict,Classic,Propaganda,Atmospheric,dark,Mindfuck,claustrophobic,mental illness,suicide,depressing,psychodrama,schizophrenia,class conflict,dystopia,foreign language,dark comedy,irish accent,Coen Brothers,depressing,post-apocalyptic,melancholy,disturbing,surreal,weird,hitchcockian,suspense,depressing,Dark Comedy,depressing,twisted ending,class conflict,romance,Emma Roberts,beat generation,william burroughs,Coen Brothers,depressing,jazz,Tense,dark,satire"
55,971,"Sir John Candy,Sir John Candy"
59,1244,"Action,alternate reality,artificial intelligence,Keanu Reeves,martial arts,philosophical,sci-fi,surreal,thought-provoking,hilarious,Kristen Bell,Nudity (Topless),bromance,Jason Segel,likeable,Paul Rudd"
63,1288,"Motivation,War,emotional,Feelings"
64,1339,romance.
70,1453,"based on a book,good sequel"
74,1507,"realistic,shiny"
75,1515,"Classic,high camp,Perfect,Better than expected"
76,1516,Shine On by needtobreathe
81,1588,"teacher changing lives,Benicio Del Toro,caper,complicated,conspiracy,heist,Kevin Spacey,Oscar (Best Supporting Actor),Oscar (Best Writing - Screenplay Written Directly for the Screen),suspense,thriller,twist ending,education,emotion,inspirational,inspirational teacher,Richard Dreyfuss,astronauts,catastrophe,disaster,drama,historical,History,space,space program,Tom Hanks,adventure,atmospheric,fantasy,Harrison Ford,space,SPACE TRAVEL,Star Wars,stylized,Dramatic,prohibition,Romance,World War I,atmospheric,drama,friendship,inspirational,justice,Morgan Freeman,prison,prison escape,reflective,revenge,thought-provoking,twist ending,banter,Geena Davis,Michael Keaton,politics,witty,David Strathairn,chase,Harrison Ford,police investigation,prison escape,tense,thriller,Tommy Lee Jones,atmospheric,courtroom,courtroom drama,drama,Ed Norton,Edward Norton,politics,psychology,Richard Gere,thought-provoking,Thriller,twist ending,Beverley Mitchell,atmospheric,drama,espionage,Oscar (Best Directing),Oscar (Best Picture),Oscar Winner,romance,sentimental,war,World War II,John Turturro,Brad Pitt,Dustin Hoffman,emotional,Kevin Bacon,revenge,Robert De Niro,John Cleese,Kevin Kline,quirky,witty,drama,ensemble cast,heist,nonlinear,Quentin Tarantino,quirky,stylized,tense,thriller,undercover cop,John Cleese,David Strathairn,adventure,fantasy,father-son relationship,Harrison Ford,space,fairy tale,fantasy,medieval,pirates,quirky,revenge,romance,sword fight,torture,adventure,archaeology,atmospheric,Harrison Ford,World War II,caper,clever,con artists,con men,heist,Paul Newman,poker,Robert Redford,surprise ending,twist ending,teacher changing lives,childhood,coming of age,friendship,INNOCENCE LOST,Jason Bateman,Kiefer Sutherland,nostalgic,poignant,Richard Dreyfuss,Rob Reiner,tense,wistful,baseball,drama,fantasy,inspirational,James Earl Jones,Kevin Costner,Ray Liotta,Gary Dourdan,distopia,drama,dystopia,Ethan Hawke,genetic engineering,genetic selection,genetics,Jude Law,powerful ending,rebellion,suicide,Uma Thurman,Gary Dourdan,amnesia,atmospheric,dystopia,fantasy,hallucinatory,Post apocalyptic,steampunk,stylized,surreal,thought-provoking,John Malkovich,Keanu Reeves,Uma Thurman,disturbing,drama,historical,history,Matt Damon,philosophy,stylized,Tom Hanks,World War II,card games,cards,Edward Norton,John Malkovich,John Turturro,Matt Damon,poker,corruption,court,courtroom,courtroom drama,drama,Jack Nicholson,Kevin Bacon,Kiefer Sutherland,lawyers,military,POLITICAL CORRUPTION,tense,Tom Cruise,crime,Edward Norton,politics,powerful ending,racism,thought-provoking,Rachael Leigh Cook,Jennifer Aniston,quirky,rebellion,revenge,Ron Livingston,satire,slackers,Catherine McCormack,courtesan,empowerment,History,Oliver Platt,Period piece,atmospheric,Brad Pitt,disturbing,Edward Norton,philosophy,psychology,social commentary,twist ending,teacher changing lives,compassionate,drama,emotional,heartwarming,nostalgic,Sam Rockwell,sentimental,Tom Hanks,baseball,feminism,madonna,nostalgic,sports,Tom Hanks,women's lib,World War II,Gary Dourdan,teacher changing lives,Golden Brooks,Michael Pitt,American Civil War,Civil War,Martin Sheen,Sam Elliott,Rachael Leigh Cook,Rachael Leigh Cook,Rachael Leigh Cook,coming of age,Morgan Freeman,teacher changing lives,atmospheric,OBSESSIVE QUESTS,twist ending,Rachael Leigh Cook,Brad Pitt,caper,Casey Affleck,Don Cheadle,ensemble cast,feel good movie,George Clooney,heist,Julia Roberts,Matt Damon,adventure,atmospheric,ensemble cast,fantasy,fantasy world,magic,stylized,wizards,Gary Dourdan,Golden Brooks,Mekhi Phifer,David Strathairn,Michael Pitt,Ryan Gosling,sandra bullock,amnesia,assassin,cia,conspiracy,espionage,Matt Damon,spy,survival,David Strathairn,Romany Malco,Romany Malco,Christopher Guest,folk music,Fred Willard,satire,Rachael Leigh Cook,conspiracy,corruption,History,investigation,journalism,Politics,Robert Redford,Rachael Leigh Cook,Ron Livingston,David Strathairn,autobiography,discipline,kung fu,martial arts,narrated,political repression,easily confused with another title,NOT WILL SMITH,David Strathairn,Atmospheric,Joaquin Phoenix,secrets,surprise ending,twist ending,Ron Livingston,Rachael Leigh Cook,Gary Dourdan,Rachael Leigh Cook,David Strathairn,Golden Brooks,Ron Livingston,feel good,soccer,censorship,cerebral,David Strathairn,George Clooney,historical,history,journalism,political,politics,propaganda,Robert Downey Jr,Robert Downey Jr.,suspense,Beverley Mitchell,Anthony Rapp,ensemble cast,Taye Diggs,Golden Brooks,Sanaa Lathan,dystopia,historical,inspirational,Natalie Portman,philosophy,politics,revenge,social commentary,thought-provoking,adventure,alternate reality,atmospheric,fairy tale,fantasy,political,psychology,stylized,surreal,twist ending,world war II,David Strathairn,Sharon Leal,teacher changing lives,Romany Malco,Gary Dourdan,David Strathairn,Romany Malco,assassin,cia,conspiracy,espionage,Matt Damon,Oscar (Best Sound),spies,spy,spy thriller,twist ending,Rachael Leigh Cook,Michael Pitt,Sharon Leal,Romany Malco,Atmospheric,Christian Bale,Heath Ledger,Michael Caine,Morgan Freeman,Oscar (Best Supporting Actor),psychology,serial killer,thriller,vigilante,Romany Malco,teacher changing lives,Ron Livingston,John Turturro,feel-good,romance,touching,Sharon Leal,Clint Eastwood,culture clash,friendship,heartwarming,revenge,sacrifice,atonement,Drama,predictable,Will Smith,foreign,NOT JONNY DEPP,Ron Livingston,Ron Livingston,Rachael Leigh Cook,Christine Lakin,David Strathairn,Romany Malco,Christine Lakin,Dark Humor,Depression,Schizophrenia"
83,1602,"DJ Qualls,Eddie Griffin,Zooey Deschanel,boring,Jim Carrey,Zooey Deschanel,Emily Blunt,Matt Damon,Tyrese Gibson,Leslie Mann"
